model,device,dtype,prompt_len,gen_tokens,trials,warmup,ttft_trim_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,per_token_trim_ms,per_token_p50_ms,per_token_p90_ms,per_token_p99_ms,e2e_trim_ms,e2e_p50_ms,e2e_p90_ms,e2e_p99_ms,peak_mem_mb_mean
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,128,10,3,351.78703162499687,349.65779299999866,362.61816700000793,362.6196249999989,51.098802856299265,50.47846853543292,54.015718141732165,55.82762430708633,6851.615171250004,6773.38367099999,7207.371911999982,7559.8036619999575,0.0
meta-llama/Llama-3.2-1B-Instruct,mps,float16,256,128,10,3,671.1950625000007,619.9636670000075,868.9358750000054,916.989123999997,56.22541310411232,54.644979968504394,58.7933284330713,62.05889829133934,7804.929686333377,7697.480714000077,8068.140544000044,8735.397749000098,0.0
meta-llama/Llama-3.2-1B-Instruct,mps,float16,512,128,10,3,1054.1181978750024,1054.0802499999984,1056.9957920000093,1057.0769569999925,57.19146445331861,57.18084777165216,57.28316205511867,57.35277429133916,8314.25382787502,8316.047916999822,8334.931752000071,8350.614742999855,0.0
meta-llama/Llama-3.2-1B-Instruct,mps,float16,1024,128,10,3,2120.8637453333317,2122.168166999984,2124.7627909999665,2124.7738339999955,68.84039210925242,68.82455444881805,68.93265324409472,69.14658825984293,10863.106162500062,10865.492248999886,10872.628587000065,10905.52670900002,0.0
