bucket,cpu_ms,cuda_ms
attention,20.113143000007323,0.0
embedding,8.94500799999825,0.0
framework_overhead,2839.8874570000116,0.0
mlp,206.7615239999914,0.0
other,235.02958600001952,0.0
sampling,12.393590999999,0.0
