model,device,dtype,prompt_len,trial,token_index,token_ms
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,0,85.03904200000534
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,1,113.57291600000963
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,2,196.65637500003186
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,3,154.95012499997074
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,4,210.37150000000793
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,5,127.91945899999746
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,6,156.24099999996588
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,7,137.65424999996867
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,8,147.28399999995645
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,9,139.34295900003235
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,10,150.30366600001344
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,11,193.6340000000314
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,12,93.36508400002685
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,13,161.5049590000126
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,14,117.2367919999715
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,15,138.19074999997838
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,16,130.84704199997077
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,17,126.18670800003429
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,18,128.01574999997456
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,19,131.4352910000025
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,20,122.3917909999841
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,21,131.64583299999322
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,22,126.91029199999093
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,23,127.49904199995399
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,24,122.7529170000139
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,0,25,130.03941599998825
