model,device,dtype,prompt_len,gen_tokens,trials,warmup,ttft_trim_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,per_token_trim_ms,per_token_p50_ms,per_token_p90_ms,per_token_p99_ms,e2e_trim_ms,e2e_p50_ms,e2e_p90_ms,e2e_p99_ms,peak_mem_mb_mean
meta-llama/Llama-3.2-3B-Instruct,mps,float16,128,128,10,3,879.4441196250203,873.7974580001264,941.4919169999507,950.968208000063,138.24410222736026,135.83632055905414,150.3296659921254,152.64768635433202,18519.64175362476,18203.66055199969,19942.572371999922,20749.13970900024,0.0
meta-llama/Llama-3.2-3B-Instruct,mps,float16,256,128,10,3,1396.5218905000256,1403.6380009999903,1408.4650829998964,1442.2832910000807,142.37764837696866,139.98345700000246,152.31958140157073,155.06488291338613,19548.723375125064,19181.86333100038,21314.97304699951,21493.95392100006,0.0
meta-llama/Llama-3.2-3B-Instruct,mps,float16,512,128,10,3,2604.2812915000013,2604.886123999904,2606.415833000028,2606.72366599988,146.09159477263808,146.3112943464548,146.42263685827245,146.5536049527557,21160.85987450005,21184.5625489998,21200.56100500051,21242.599869999933,0.0
meta-llama/Llama-3.2-3B-Instruct,mps,float16,1024,128,10,3,5449.620379777824,5434.0803340001,5494.255291000172,5527.598542000078,176.8483015836603,177.1767099527637,177.35245503149415,177.40771000786816,27911.297186624895,27917.791621998964,27949.387664999667,28029.04070600107,0.0
