model,device,dtype,prompt_len,trial,token_index,token_ms
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,66,49.98470800000021
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,67,50.9023750000015
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,68,47.12845800000132
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,69,47.7644159999997
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,70,52.6167080000004
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,71,48.30349999999939
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,72,50.73604099999862
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,73,48.340959000000794
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,74,48.19391599999889
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,75,48.40399999999967
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,76,48.26124999999948
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,77,47.508207999999996
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,78,48.76416699999986
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,79,53.43874999999976
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,80,50.681917000000354
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,81,48.18783300000007
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,82,47.09812499999977
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,83,47.20704100000006
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,84,52.620833000000644
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,85,52.606208000000265
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,86,48.49320800000001
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,87,47.87862500000095
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,88,52.568209000000365
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,89,48.377957999999666
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,90,47.59220800000108
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,91,45.75900000000033
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,92,49.938250000000295
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,93,51.104083000000244
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,94,50.74833299999959
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,95,49.74979200000007
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,96,51.695833000000135
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,97,48.23637500000011
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,98,47.93233300000033
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,99,48.5307920000011
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,100,51.66429099999981
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,101,50.476167000001126
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,102,48.75720799999961
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,103,49.784666000000755
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,104,49.945291000000225
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,105,48.20020900000088
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,106,49.7147499999997
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,107,51.020541999999836
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,108,52.146457999999285
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,109,49.79179200000061
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,110,52.42033299999882
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,111,48.93179199999942
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,112,47.716957999998755
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,113,52.54820799999926
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,114,53.01158299999997
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,115,49.079750000000644
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,116,46.49949999999947
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,117,53.97854199999941
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,118,49.15445800000029
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,119,48.51054200000071
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,120,50.046332999999166
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,121,53.382083999999
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,122,53.575999999999624
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,123,52.9052909999983
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,124,49.82691599999711
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,125,45.210374999999914
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,126,49.19754100000162
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,127,50.19345800000252
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,0,34.990333999999734
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,1,34.04512499999868
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,2,33.90587499999853
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,3,34.89108299999799
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,4,36.25783300000052
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,5,43.23783299999917
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,6,56.76941699999816
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,7,72.87783299999973
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,8,49.00787499999737
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,9,43.56174999999851
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,10,40.27629100000141
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,11,45.36466699999764
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,12,48.93070800000032
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,13,51.867417000000415
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,14,48.837125000002146
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,15,45.04241700000122
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,16,44.07341599999981
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,17,49.59279199999855
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,18,51.55654100000007
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,19,49.81970800000113
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,20,45.83341599999713
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,21,45.25416599999943
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,22,50.45175000000057
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,23,47.96012500000302
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,24,48.59316699999994
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,25,48.13483399999896
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,26,47.742750000001166
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,27,47.61391699999962
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,28,49.92516699999783
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,29,54.57304200000124
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,30,52.4091250000005
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,31,48.78391700000151
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,32,46.145167000002374
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,33,45.98983300000015
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,1,34,47.123290999998346
